Incidence Rate Report for United States by County

"Ovary, 2011-2015"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Chautauqua County, New York(6,10)",36013,***,13.8 ,10.3, 18,12,stable,-13.8 ,-44.3, 33.5
"Flagler County, Florida(6,10)",12035,***,13.8 ,10.2, 18.5,11,stable,-5.8 ,-17.8, 7.8
"Citrus County, Florida(6,10)",12017,***,13.8 ,10.4, 18,18,stable,7.5 ,-8.7, 26.7
"San Juan County, New Mexico(7,8)",35045,***,13.8 ,10, 18.4,9,stable,-1.7 ,-3.7, 0.3
"Tippecanoe County, Indiana(6,10)",18157,***,13.7 ,10.3, 17.9,11,stable,5.7 ,-14.1, 30.0
"Okeechobee County, Florida(6,10)",12093,***,13.7 ,8, 22.5,4,falling,-39.3 ,-48.3, -28.8
"Russell County, Alabama(6,10)",01113,***,13.7 ,8.4, 21.1,4,stable,-27.5 ,-59.9, 31.0
"McHenry County, Illinois(6,10)",17111,***,13.7 ,11.3, 16.5,24,stable,6.6 ,-19.9, 41.8
"Lonoke County, Arkansas(6,10)",05085,***,13.7 ,9, 20.1,5,stable,10.2 ,-52.8, 156.9
"Bucks County, Pennsylvania(6,10)",42017,***,13.7 ,12.1, 15.4,56,stable,-1.3 ,-15.6, 15.5
"Ogle County, Illinois(6,10)",17141,***,13.7 ,8.4, 21.2,4,stable,12.9 ,-14.5, 49.0
"Wyoming County, New York(6,10)",36121,***,13.7 ,7.8, 22.6,3,*,*,*,*
"Floyd County, Georgia(7,8)",13115,***,13.6 ,9.6, 18.8,8,stable,-1.8 ,-6.3, 2.9
"Missoula County, Montana(6,10)",30063,***,13.6 ,9.7, 18.7,8,stable,-9.4 ,-35.8, 27.9
"Salem County, New Jersey(7,8)",34033,***,13.6 ,9.2, 19.8,6,stable,0.0 ,-2.2, 2.4
"Williams County, Ohio(6,10)",39171,***,13.6 ,7.8, 22.4,3,*,*,*,*
"Whiteside County, Illinois(6,10)",17195,***,13.6 ,9, 20.1,6,stable,-8.2 ,-29.7, 19.8
"Snohomish County, Washington(7,8)",53061,***,13.6 ,12, 15.4,56,falling,-1.0 ,-1.6, -0.4
"Tazewell County, Virginia(6,10)",51185,***,13.6 ,7.8, 22.2,4,stable,9.3 ,-22.0, 53.1
"Macomb County, Michigan(7,8)",26099,***,13.6 ,12.3, 15.1,77,falling,-0.8 ,-1.4, -0.2
"Orange County, North Carolina(6,10)",37135,***,13.6 ,9.9, 18.2,10,stable,-5.0 ,-31.6, 31.9
"Mendocino County, California(7,8)",06045,***,13.6 ,9.4, 19.1,8,falling,-4.3 ,-7.7, -0.8
"Pontotoc County, Oklahoma(6,10)",40123,***,13.6 ,7.6, 22.7,3,*,*,*,*
"Huron County, Michigan(6,10)",26063,***,13.6 #  ,6.8, 24.6,3,*,*,*,*
"Jefferson County, West Virginia(6,10)",54037,***,13.6 ,8.6, 20.6,5,stable,6.3 ,-35.5, 75.0
"Gallatin County, Montana(6,10)",30031,***,13.6 ,9.2, 19.3,6,stable,4.7 ,-23.2, 42.8
"Payne County, Oklahoma(6,10)",40119,***,13.5 ,8.7, 20.2,5,stable,-7.3 ,-50.2, 72.5
"Dougherty County, Georgia(7,8)",13095,***,13.5 ,9.5, 18.8,8,stable,-0.6 ,-5.4, 4.4
"Medina County, Ohio(6,10)",39103,***,13.5 ,10.5, 17.2,15,stable,6.3 ,-1.5, 14.8
"Garrett County, Maryland(6,10)",24023,***,13.5 ,7.6, 23.1,3,*,*,*,*
"Raleigh County, West Virginia(6,10)",54081,***,13.5 ,9.3, 19.2,7,stable,0.9 ,-19.1, 25.7
"Chippewa County, Wisconsin(6,10)",55017,***,13.5 ,8.7, 20.1,5,stable,-24.6 ,-52.7, 20.3
"Pulaski County, Virginia(6,10)",51155,***,13.5 ,8, 22.1,4,stable,-0.6 ,-11.1, 11.1
"Dunn County, Wisconsin(6,10)",55033,***,13.5 ,7.5, 22.5,3,*,*,*,*
"Bastrop County, Texas(6,10)",48021,***,13.5 ,8.7, 20,5,stable,9.9 ,-54.6, 166.3
"Phelps County, Missouri(6,10)",29161,***,13.5 ,7.6, 22.3,3,*,*,*,*
"Suffolk County, New York(6,10)",36103,***,13.5 ,12.4, 14.6,129,stable,-1.8 ,-4.4, 0.8
